Year,Month,L,R,S,n_traps,trap_m2,Lm2,Rm2,Sm2
2014,1,2211.3,674.9,7.3,64,0.5,69.103125,21.090625,0.228125
2014,2,2396.6,312.9,6.7,64,0.5,74.89375,9.778125,0.209375
2014,3,2887.4,974.6,35.4,64,0.5,90.23125,30.45625,1.10625
2014,4,2034,675.1,38.9,64,0.5,63.5625,21.096875,1.215625
2014,5,1951.3,651.1,50.3,64,0.5,60.978125,20.346875,1.571875
2014,6,1815.4,1131.3,40.1,64,0.5,56.73125,35.353125,1.253125
2014,7,1375.6,952.7,25.7,64,0.5,42.9875,29.771875,0.803125
2014,8,1073.5,401,56.3,64,0.5,33.546875,12.53125,1.759375
2014,9,1853.7,758.8,71.2,64,0.5,57.928125,23.7125,2.225
2014,10,1253.6,409.6,43,64,0.5,39.175,12.8,1.34375
2014,11,1249.6,270.5,36.4,64,0.5,39.05,8.453125,1.1375
2014,12,2061.2,203.4,37.6,64,0.5,64.4125,6.35625,1.175
2015,1,2855.5,686.3,8,64,0.5,89.234375,21.446875,0.25
2015,2,2766.1,581.9,27.5,64,0.5,86.440625,18.184375,0.859375
2015,3,2959.6,558.4,56.9,64,0.5,92.4875,17.45,1.778125
2015,4,2126.4,401.09999999999997,32.8,64,0.5,66.45,12.534374999999999,1.025
2015,5,2213.7,421.5,22.400000000000002,64,0.5,69.178125,13.171875,0.7000000000000001
2015,6,1427.3,644.6,50.5,64,0.5,44.603125,20.14375,1.578125
2015,7,1245.7,648.2,23.2,64,0.5,38.928125,20.25625,0.725
2015,8,1432.9,332.4,16.5,64,0.5,44.778125,10.3875,0.515625
2015,9,1606.2,762.6,43.1,64,0.5,50.19375,23.83125,1.346875
2015,10,1319.3,269.7,23.2,64,0.5,41.228125,8.428125,0.725
2015,11,1356.4,162.7,11.4,64,0.5,42.3875,5.084375,0.35625
2015,12,2216.2,415.1,4.9,64,0.5,69.25625,12.971875,0.153125
2016,1,3049.7,626.2,51.9,64,0.5,95.303125,19.56875,1.621875
2016,2,2777.4,813.2,21.7,64,0.5,86.79375,25.4125,0.678125
2016,3,3035.7,791.7,33.3,64,0.5,94.865625,24.740625,1.040625
2016,4,2994,453.9,28.9,64,0.5,93.5625,14.184375,0.903125
2016,5,2671.1,709,65.6,64,0.5,83.471875,22.15625,2.05
2016,6,1312.6,743.2,41.8,64,0.5,41.01875,23.225,1.30625
2016,7,1076.8,838.9,4.1,64,0.5,33.65,26.215625,0.128125
2016,8,1053.7,460.7,77.9,64,0.5,32.928125,14.396875,2.434375
2016,9,1427.3,1082.1,111.1,64,0.5,44.603125,33.815625,3.471875
2016,10,1130.9,673.4,102.60000000000001,64,0.5,35.340625,21.04375,3.2062500000000003
2016,11,2028.9,446,64,64,0.5,63.403125,13.9375,2
2016,12,1469.1,273.7,24.2,64,0.5,45.909375,8.553125,0.75625
2017,1,3453.1,925.7,16.2,64,0.5,107.909375,28.928125,0.50625
2017,2,2379.2,729.2,45.7,64,0.5,74.35,22.7875,1.428125
2017,3,2245.9,461.4,41.4,64,0.5,70.184375,14.41875,1.29375
2017,4,1870.6,575.4,36.4,64,0.5,58.45625,17.98125,1.1375
2017,5,1583.7,370.4,25.1,64,0.5,49.490625,11.575,0.784375
2017,6,1100.4,475.6,19.2,64,0.5,34.3875,14.8625,0.6
2017,7,815.9,333.9,14.4,64,0.5,25.496875,10.434375,0.45
2017,8,1174,224.8,29.7,64,0.5,36.6875,7.025,0.928125
2017,9,1416,251.3,28.2,64,0.5,44.25,7.853125,0.88125
2017,10,2063.8,135.6,5.1000000000000005,64,0.5,64.49375,4.2375,0.15937500000000002
2017,11,1441.2,163.5,8.2,64,0.5,45.0375,5.109375,0.25625
2017,12,1778.4,184,3.3,64,0.5,55.575,5.75,0.103125
2018,1,2174.7,727.3,19.5,64,0.5,67.959375,22.728125,0.609375
2018,2,2764.9,568.3,22.3,64,0.5,86.403125,17.759375,0.696875
2018,3,2941.8,598.9,20.1,64,0.5,91.93125,18.715625,0.628125
2018,4,2331.8,750.8,27.400000000000002,64,0.5,72.86875,23.4625,0.8562500000000001
2018,5,1891.4,503,40.7,64,0.5,59.10625,15.71875,1.271875
2018,6,1244.3,404.4,31.2,64,0.5,38.884375,12.6375,0.975
2018,7,1303.9,466.7,28.1,64,0.5,40.746875,14.584375,0.878125
2018,8,1226.7,280.3,25.7,64,0.5,38.334375,8.759375,0.803125
2018,9,1265.9,326.5,54.9,64,0.5,39.559375,10.203125,1.715625
2018,10,1907.7,514.8,54.2,64,0.5,59.615625,16.0875,1.69375
2018,11,1338.9,160.9,17.3,64,0.5,41.840625,5.028125,0.540625
2018,12,2408.6,200.9,11.8,64,0.5,75.26875,6.278125,0.36875
