site,year,var,value,units
SCBI,2016,R,25.30130610775531,g C m-2 yr-1
SCBI,2017,R,27.068703066161483,g C m-2 yr-1
SCBI,2018,R,6.738738848432806,g C m-2 yr-1
SCBI,2019,R,13.025481364496054,g C m-2 yr-1
SCBI,2020,R,41.96818595320981,g C m-2 yr-1
SERC,2016,R,13.582607937791702,g C m-2 yr-1
SERC,2017,R,26.123153263970146,g C m-2 yr-1
SERC,2018,R,5.214518265804298,g C m-2 yr-1
SERC,2019,R,0.7965325952909825,g C m-2 yr-1
SERC,2020,R,13.465268920808741,g C m-2 yr-1
SCBI,2016,L,218.25485223853983,g C m-2 yr-1
SCBI,2017,L,112.29441587434228,g C m-2 yr-1
SCBI,2018,L,5.1901987800394815,g C m-2 yr-1
SCBI,2019,L,59.130939539025256,g C m-2 yr-1
SCBI,2020,L,236.0686370062645,g C m-2 yr-1
SERC,2016,L,46.63469699421895,g C m-2 yr-1
SERC,2017,L,108.36898365300814,g C m-2 yr-1
SERC,2018,L,5.987695605626686,g C m-2 yr-1
SERC,2019,L,2.814825148342212,g C m-2 yr-1
SERC,2020,L,93.84051600860013,g C m-2 yr-1
SCBI,2016,R/L,0.11592551482018121,-
SCBI,2017,R/L,0.24105119435726374,-
SCBI,2018,R/L,1.29835852806808,-
SCBI,2019,R/L,0.22028199561922218,-
SCBI,2020,R/L,0.17777959192476767,-
SERC,2016,R/L,0.2912554130988664,-
SERC,2017,R/L,0.24105747219716597,-
SERC,2018,R/L,0.8708723036795947,-
SERC,2019,R/L,0.28297764632382205,-
SERC,2020,R/L,0.14349099401344617,-
bci,2014,R/L,0.4635956079785194,-
bci,2015,R/L,0.36540718671000366,-
bci,2016,R/L,0.5011358549686661,-
bci,2017,R/L,0.5865121580547112,-
bci,2018,R/L,0.32554737636844094,-
bci,2014,R,241.71875,g C m-2 yr-1
bci,2015,R,202.3625,g C m-2 yr-1
bci,2016,R,279.88437500000003,g C m-2 yr-1
bci,2017,R,289.44375,g C m-2 yr-1
bci,2018,R,172.475,g C m-2 yr-1
luq,2003,R/L,0.2631278975798563,-
luq,2004,R/L,0.16800864021407094,-
luq,2005,R/L,0.26450242682041525,-
luq,2006,R/L,0.400488820439147,-
luq,2007,R/L,0.19597370076603304,-
luq,2008,R/L,0.4553367575694028,-
luq,2009,R/L,0.24570780078944376,-
luq,2010,R/L,0.17904929142037446,-
luq,2011,R/L,0.11268814778609115,-
luq,2012,R/L,0.24567188531430206,-
luq,2013,R/L,0.34404739704502174,-
luq,2014,R/L,0.24951649110689,-
luq,2015,R/L,0.33708049401380663,-
luq,2016,R/L,0.31715780857159565,-
luq,2017,R/L,0.07681450536543699,-
luq,2018,R/L,0.21521771181442892,-
luq,2019,R/L,0.1376193731752727,-
luq,2003,R,10.100244897959184,g C m-2 yr-1
luq,2004,R,6.806530612244898,g C m-2 yr-1
luq,2005,R,9.59717006802721,g C m-2 yr-1
luq,2006,R,14.321523809523809,g C m-2 yr-1
luq,2007,R,6.916789115646258,g C m-2 yr-1
luq,2008,R,16.779537414965986,g C m-2 yr-1
luq,2009,R,9.167020408163266,g C m-2 yr-1
luq,2010,R,6.30378231292517,g C m-2 yr-1
luq,2011,R,3.9146666666666667,g C m-2 yr-1
luq,2012,R,8.587646258503401,g C m-2 yr-1
luq,2013,R,12.249360544217687,g C m-2 yr-1
luq,2014,R,9.436408163265307,g C m-2 yr-1
luq,2015,R,13.20174149659864,g C m-2 yr-1
luq,2016,R,11.808108843537415,g C m-2 yr-1
luq,2017,R,5.011374149659864,g C m-2 yr-1
luq,2018,R,1.906612244897959,g C m-2 yr-1
luq,2019,R,3.483646258503401,g C m-2 yr-1
