sp,Latin
swars1,Swartzia simplex
amaico,Amaioua corymbosa
crotbi,Croton billbergianus
guetfo,Guettarda foliacea
ingas1,Inga acuminata
picrla,Picramnia latifolia
randar,Randia armata
myrcga,Myrcia gatunensis
psidfr,Psidium friedrichsthalianum
sipapa,Siparuna pauciflora
ade1tr,Adelia triloba
faraoc,Faramea occidentalis
laciag,Lacistema aggregatum
cou2cu,Coussarea curvigemmia
micoho,Miconia hondurensis
eugega,Eugenia galalonensis
cupasy,Cupania seemannii
caseac,Casearia aculeata
laetth,Laetia thamnia
